technical/911report/chapter-1.txt:    At the White House, the video teleconference was conducted from the Situation Room by Richard Clarke, a special assistant to the president long involved in counterterrorism. Logs indicate that it began at 9:25 and included the CIA; the FBI; the departments of State, Justice, and Defense; the FAA; and the White House shelter. The FAA and CIA joined at 9:40. The first topic addressed in the White House video teleconference-at about 9:40-was the physical security of the President, the White House, and federal agencies. Immediately thereafter it was reported that a plane had hit the Pentagon. We found no evidence that video teleconference participants had any prior information that American 77 had been hijacked and was heading directly toward Washington. Indeed, it is not clear to us that the video teleconference was fully under way before 9:37, when the Pentagon was struck.
technical/911report/chapter-13.5.txt:                than it had ever been previously. On June 30, 2000, NSC counterterrorism staffers
technical/911report/chapter-13.5.txt:                classified portions of the briefings that related to counterterrorism. We have been
technical/911report/chapter-13.5.txt:                called Dale Watson, the FBI's assistant director for counterterrorism, and asked for
technical/911report/chapter-13.5.txt:                Community Counterterrorism Board report,"Intelligence CommunityTerroristThreat
technical/911report/chapter-13.5.txt:             Similarly, the FBI's Counterterrorism Division would remain, as now, the operational
technical/911report/chapter-13.5.txt:                The Counterterrorism Division would rely on the FBI's Office of Intelligence to
technical/911report/chapter-13.5.txt:            The State Department's counterterrorism office would be a critical participant in the
technical/911report/chapter-13.5.txt:                NCTC's work, taking the lead in directing the execution of the counterterrorism
technical/911report/chapter-13.5.txt:                foreign policy mission. The proposed National Counterterrorism Center should offer
technical/911report/chapter-13.5.txt:                one-stop shopping to agencies with counterterrorism and homeland security
technical/911report/chapter-13.5.txt:                agencies, like the FBI's Counterterrorism Division. The intelligence side of these
technical/911report/chapter-3.txt:            COUNTERTERRORISM EVOLVES
technical/911report/chapter-3.txt:                indictments, prosecutions, and convictions. Counterterrorism and counterintelligence
technical/911report/chapter-3.txt:                management ranks had little counterterrorism experience. Second, priorities were
technical/911report/chapter-3.txt:            The strengths that the FBI brought to counterterrorism were nowhere more brilliantly
technical/911report/chapter-3.txt:                created a Counterterrorism Division that would complement the Counterterrorist
technical/911report/chapter-3.txt:                Center at the CIA and arranged for exchanges of senior FBI and CIA counterterrorism
technical/911report/chapter-3.txt:                counterterrorism. FBI, Justice, and Office of Management and Budget officials said
technical/911report/chapter-3.txt:                FBI's counterterrorism resource needs. In addition, Freeh did not impose his views
technical/911report/chapter-3.txt:                security, including counterterrorism, as its top priority. Dale Watson, who would
technical/911report/chapter-3.txt:                later become the head of the new Counterterrorism Division, said that after the East
technical/911report/chapter-3.txt:                not shift human resources accordingly. Although the FBI's counterterrorism budget
technical/911report/chapter-3.txt:                tripled during the mid-1990s, FBI counterterrorism spending remained fairly constant
technical/911report/chapter-3.txt:                devoted to drug enforcement as to counterterrorism.
technical/911report/chapter-3.txt:                strategic analytic reports about counterterrorism had been completed. Indeed, the
technical/911report/chapter-3.txt:                counterintelligence and counterterrorism, and most subsequent training was received
technical/911report/chapter-3.txt:                resources to the surveillance and translation needs of counterterrorism agents. It
technical/911report/chapter-3.txt:            In 1999, the FBI created separate Counterterrorism and Counterintelligence divisions.
technical/911report/chapter-3.txt:                Dale Watson, the first head of the new Counterterrorism Division, recognized the
technical/911report/chapter-3.txt:                urgent need to increase the FBI's counterterrorism capability. His plan, called
technical/911report/chapter-3.txt:                "maximum feasible capacity" in counterterrorism by 2005. Field executives told
technical/911report/chapter-3.txt:                the FBI or CIA for counterterrorism use.
technical/911report/chapter-3.txt:                greatest potential to develop an expanded role in counterterrorism. However, the INS
technical/911report/chapter-3.txt:            Midlevel INS employees proposed comprehensive counterterrorism proCOUNTERTERRORISM
technical/911report/chapter-3.txt:                information relevant to counterterrorism-a proposed system to track foreign student
technical/911report/chapter-3.txt:                counterterrorism, were to be found in the Treasury Department. Treasury housed the
technical/911report/chapter-3.txt:                counterterrorism. Very few American colleges or universities offered programs in
technical/911report/chapter-3.txt:            Early Counterterrorism Efforts In the 1970s and 1980s, terrorism had been tied to
technical/911report/chapter-3.txt:                needed significant change in order to get maximum effect in counterterrorism.
technical/911report/chapter-3.txt:                years away from being fully ready to play its counterterrorism role.
technical/911report/chapter-3.txt:            Counterterrorism In the 1960s and 1970s, the State Department managed
technical/911report/chapter-3.txt:                counterterrorism policy. It was the official channel for communication with the
technical/911report/chapter-3.txt:                counterterrorism matters within the department and to help integrate U.S. policy
technical/911report/chapter-3.txt:                Department leadership in counterterrorism. President Carter's assertive national
technical/911report/chapter-3.txt:                status and visibility of counterterrorism coordination by appointing as coordinator
technical/911report/chapter-3.txt:                Department of State in counterterrorism was often cautionary before 9/11. This was a
technical/911report/chapter-3.txt:                reflection of the reality that counterterrorism priorities nested within broader
technical/911report/chapter-3.txt:            Counterterrorism The Pentagon first became concerned about terrorism as a result of
technical/911report/chapter-3.txt:                counterterrorism. By the end of President Clinton's first term, this official had
technical/911report/chapter-3.txt:                were to have a role in counterterrorism, it would be a traditional military role-to
technical/911report/chapter-3.txt:                establishment effective use of military power for counterterrorism- limited
technical/911report/chapter-3.txt:                presidential staff coordinate counterterrorism. After the killing of the marines in
technical/911report/chapter-3.txt:            Through most of President Reagan's second term, the coordination of counterterrorism
technical/911report/chapter-3.txt:                cast a cloud over the notion that the White House should guide counterterrorism.
technical/911report/chapter-3.txt:                to coordinate counterterrorism from the White House. On January 25, 1993, Mir Amal
technical/911report/chapter-3.txt:                coordinating counterterrorism. Before long, he would chair a midlevel interagency
technical/911report/chapter-3.txt:                committee eventually titled the Counterterrorism Security Group (CSG). We will later
technical/911report/chapter-3.txt:                counterterrorism. For the CIA, he essentially stopped cutting allocations and
technical/911report/chapter-3.txt:                supported requests for supplemental funds for counterterrorism.
technical/911report/chapter-3.txt:                counterterrorism. He issued two Presidential Decision Directives, numbers 62 and 63,
technical/911report/chapter-3.txt:                Decision Directive 39; laid out ten program areas for counterterrorism; and
technical/911report/chapter-3.txt:                the decade before 9/11-including counterterrorism funding-were made in the
technical/911report/chapter-3.txt:                Congress in addressing the questions of counterterrorism strategy and policy,
technical/911report/chapter-3.txt:                exclusively devoted to counterterrorism, plus the briefings by its terrorist working
technical/911report/chapter-3.txt:            President Bill Clinton's counterterrorism Presidential Decision Directives in 1995
technical/911report/chapter-3.txt:                counterterrorism efforts, through Richard Clarke and his interagency
technical/911report/chapter-3.txt:                Counterterrorism Security Group (CSG). Spotlighting new concerns about
technical/911report/chapter-3.txt:            Clarke's Counterterrorism Security Group reviewed the capture plan for Berger. Noting
technical/911report/chapter-3.txt:                connected with counterterrorism activities concerning Bin Ladin or the Khobar Towers
technical/911report/chapter-3.txt:                become a lead agency in driving a national counterterrorism strategy forward, to
technical/911report/chapter-3.txt:                counterterrorism officials wanted a stronger position; the department's acting
technical/911report/chapter-3.txt:                counterterrorism coordinator advised Secretary Albright to designate Pakistan as a
technical/911report/chapter-3.txt:            In October, an NSC counterterrorism official noted that Pakistan's pro-Taliban
technical/911report/chapter-3.txt:                Albright increased the department's focus on counterterrorism. According to
technical/911report/chapter-3.txt:                became counterterrorism coordinator. A onetime special forces officer, he had worked
technical/911report/chapter-3.txt:            In early 1999, the State Department's counterterrorism office proposed a
technical/911report/chapter-3.txt:            The counterterrorism staff at CIA thought it was gaining a better understanding of
technical/911report/chapter-3.txt:            U.S. counterterrorism officials also worried about possible domestic attacks. Several
technical/911report/chapter-3.txt:            Zinni's distinct preference would have been to build up counterterrorism capabilities
technical/911report/chapter-3.txt:                counterterrorism ally in the Gulf. The lead CIA official in the field, Gary Schroen,
technical/911report/chapter-3.txt:            The United Arab Emirates was becoming both a valued counterterrorism ally of the
technical/911report/chapter-3.txt:                United States and a persistent counterterrorism problem. From 1999 through early
technical/911report/chapter-3.txt:                counterterrorism skills, recruiting more assets, and trying to penetrate al Qaeda's
technical/911report/chapter-6.txt:                Council (NSC) Counterterrorism Coordinator Richard Clarke wrote Berger, "If George's
technical/911report/chapter-6.txt:                Clarke's Counterterrorism Security Group (CSG) to develop plans to deter and disrupt
technical/911report/chapter-6.txt:                The senior FBI official for counterterrorism, Dale Watson, was a regular member of
technical/911report/chapter-6.txt:                counterterrorism strategy and come up with a plan for"where we go from here."
technical/911report/chapter-6.txt:                the State Department's counterterrorism coordinator, Michael Sheehan, met with
technical/911report/chapter-6.txt:                President's life. Counterterrorism officials also argued that Pakistan had not done
technical/911report/chapter-6.txt:                funds just to continue their current counterterrorism effort, for they reckoned that
technical/911report/chapter-6.txt:                us he met with Berger to discuss funding for counterterrorism just two days after
technical/911report/chapter-6.txt:            While Clarke strongly favored giving the CIA more money for counterterrorism, he
technical/911report/chapter-6.txt:                Their ability to perform any mission, counterterrorism included, they argued,
technical/911report/chapter-6.txt:                the counterterrorism effort, Tenet had gone to congressional leaders after the 1998
technical/911report/chapter-6.txt:                    counterterrorism.
technical/911report/chapter-6.txt:                used to argue that CIA spending on counterterrorism from its baseline budget had
technical/911report/chapter-6.txt:            Tenet obtained a modest supplemental appropriation, which funded counterterrorism
technical/911report/chapter-6.txt:                that it remained underfunded for counterterrorism.
technical/911report/chapter-6.txt:                Qaeda's affiliate Egyptian Islamic Jihad. U.S. counterterrorism officials told us
technical/911report/chapter-6.txt:            Some of Clarke's fellow counterterrorism officials, such as the State Department's
technical/911report/chapter-6.txt:            In late 2000, the CIA and the NSC staff began thinking about the counterterrorism
technical/911report/chapter-6.txt:                paid particular attention to the question of how counterterrorism policy should be
technical/911report/chapter-6.txt:                Counterterrorism Security Group functioned.
technical/911report/chapter-6.txt:                Clinton administration had said specifically that Clarke's Counterterrorism Security
technical/911report/chapter-6.txt:                been built to coordinate counterterrorism policy. It was important to sound
technical/911report/chapter-6.txt:                counterterrorism staff, a decision that she called rare for a new administration.
technical/911report/chapter-6.txt:                She decided also that Clarke should retain the title of national counterterrorism
technical/911report/chapter-6.txt:                Deputies Committee would slow decisionmaking on counterterrorism.
technical/911report/chapter-6.txt:                continuity in counterterrorism policy. Clarke and his Counterterrorism Security
technical/911report/chapter-6.txt:                Counterterrorism Dale Watson remained. Working-level counterterrorism officials at
technical/911report/chapter-6.txt:                counterterrorism funding for national security agencies, including the CIA and the
technical/911report/chapter-6.txt:                FBI. This included a 27 percent increase in counterterrorism funding for the
technical/911report/chapter-6.txt:                with a narrow counterterrorism agenda.
technical/911report/chapter-6.txt:                larger than the CIA's entire current budget for counterterrorism covert action. It
technical/911report/chapter-6.txt:                2001.202 In May or June, Clarke asked to be moved from his counterterrorism
technical/911report/chapter-6.txt:                conflict (SOLIC), the key counterterrorism policy office in the Pentagon-never
technical/911report/chapter-6.txt:                particular counterterrorism issue that engaged his attention before 9/11, other than
technical/911report/chapter-6.txt:                summer of 2000. The FBI's assistant director for counterterrorism, Dale Watson, told
technical/911report/chapter-6.txt:                increase in the FBI's counterterrorism program since fiscal year 1997. The
technical/911report/chapter-6.txt:                mention counterterrorism. Longtime FBI Director Louis Freeh left in June 2001, after
technical/911report/chapter-6.txt:                not increase the funding level for counterterrorism in its pending fiscal year 2002
technical/911report/chapter-6.txt:                proposal. Pickard appealed for more counterterrorism enhancements, an appeal the
technical/911report/chapter-6.txt:                counterterrorism efforts past and present. The "real question" before the
technical/911report/chapter-6.txt:                the whole government could support. Meanwhile, another counterterrorism veteran,
technical/911report/chapter-7.txt:                holding extremist beliefs who have been the subject of counterterrorism
technical/911report/chapter-8.txt:            As 2001 began, counterterrorism officials were receiving frequent but fragmentary
technical/911report/chapter-8.txt:                National Security Council (NSC) counterterrorism coordinator, all received the SEIB,
technical/911report/chapter-8.txt:            The interagency Counterterrorism Security Group (CSG) that Clarke chaired discussed
technical/911report/chapter-8.txt:                out several more if things went well. On May 24 alone, counterterrorism officials
technical/911report/chapter-8.txt:            On July 2, the FBI Counterterrorism Division sent a message to federal agencies and
technical/911report/chapter-8.txt:            The head of counterterrorism at the FBI, Dale Watson, said he had many discussions
technical/911report/chapter-8.txt:                Counterterrorism Division at FBI headquarters.
technical/911report/chapter-8.txt:            The search was assigned to one FBI agent, and it was his very first counterterrorism
technical/911report/chapter-8.txt:                for Counterterrorism Dale Watson was briefed on the Moussaoui case prior to 9/11.
